kode_bps,nama_bps,kode_pos,nama_pos
7103061009,AHA PATUNG,95841,Aha Patung
8108080005,AHANARI,97451,Ahanari
7604011006,AHU,91553,Ahu
7405032008,AHUANGGULURI,93852,Ahuangguluri
7403132003,AHUAWALI,93469,Ahuawali
7403140004,AHUAWATU,93463,Ahuawatu
7403151003,AHUHU,93468,Ahuhu
5207010004,AI KANGKUNG,84457,Ai Kangkung
5204112002,AI MUAL,84375,Ai Mual
9106070016,AIBOBOR,98454,Aibobor
9408071006,AIBONDENI,98253,Aibondeni
5310041002,AIBURA,86182,Aibura
9112090011,AIGA,98378,Aiga
5202091002,AIK BUKAQ,83555,Aik Bukaq
5202090007,AIK DAREQ,83552,Aik Darek
1906021002,AIK MADU,33563,Aik Madu
5202060022,AIK MUAL,83519,Aik Mual
9410030019,AIKAI,98765,Aikai
5203051005,AIKDEWA,83665,Aik Dewa
5203090009,AIKMEL,83653,Aikmel
5203090015,AIKMEL BARAT,83653,Aikmel Barat
5203090010,AIKMEL UTARA,83653,Aikmel Utara
9110110004,AIKRER,98053,Aikrer
9415011005,AIKUT,99773,Aikut
9107170005,AIMAS,98431,Aimas
5312010016,AIMERE,86452,Aimere
5312010015,AIMERE TIMUR,86452,Aimere Timur
5307060020,AIMOLI,85851,Aimoli
5305012003,AINAN,85643,Ainan
6307041010,AING BANTAI,71382,Aing Bantai
5305040008,AINIUT,85671,Ainiut
9402222011,AIPAKMA,99518,Aipakma
9105142005,AIPIRI,98313,Aipiri
1802031015,AIR ABANG,35664,Air Abang
1608080019,AIR ALUN,32279,Air Alun
1901080015,AIR ANYIR,33272,Air Anyir
1702032004,AIR APO,39187,Air Apo
1603032021,AIR ASAM,31384,Air Asam
2105060001,AIR ASUK,29995,Air Asuk
1802030019,AIR BAKOMAN,35679,Air Bakoman
1403011004,AIR BALUI,29276,Air Balui
1606010001,AIR BALUI,30753,Air Balui
1703053002,AIR BANAI,38676,Air Banai
1702044008,AIR BANG,39138,Air Bang
1905040010,AIR BARA,33782,Air Bara
1608010013,AIR BARU,32276,Air Baru
1608071009,AIR BARU,32281,Air Baru
1704010016,AIR BATANG,38964,Air Batang
1502051008,AIR BATU,37362,Air Batu
1502051008,AIR BATU,37368,Air Batu
1502063002,AIR BATU,37362,Air Batu
1502063002,AIR BATU,37368,Air Batu
1607050001,AIR BATU,30961,Air Batu
1902061006,AIR BATU BUDING,33453,Air Batu Buding
1605072001,AIR BELITI,31664,Air Beliti
1903030004,AIR BELO,33315,Air Belo
1702045008,AIR BENING,39154,Air Bening
1706020007,AIR BERAU,38766,Air Berau
1103050002,AIR BERUDANG,23719,Air Berundang
8103140016,AIR BESAR,97557,Air Besar
9101061007,AIR BESAR,98641,Air Besar
1706020010,AIR BIKUK,38766,Air Bikuk
2105010009,AIR BIRU,29992,Air Biru
8104030003,AIR BUAYA,97373,Air Buaya
1903010017,AIR BULIN,33364,Air Bulin
