kode_bps,nama_bps,kode_pos,nama_pos
3326,PEKALONGAN,51100,PEKALONGAN
3375,PEKALONGAN,51100,KOTA PEKALONGAN
1471,PEKANBARU,28100,KOTA PEKANBARU
1471,PEKANBARU,28200,KOTA PEKANBARU
1404,PELALAWAN,28300,PELALAWAN
3327,PEMALANG,52300,PEMALANG
1273,PEMATANG SIANTAR,21100,KOTA PEMATANG SIANTAR
6409,PENAJAM PASER UTARA,76300,PENAJAM PASER UTARA
1612,PENUKAL ABAB LEMATANG ILIR,31200,Penukal Abab Lematang Ilir
1612,PENUKAL ABAB LEMATANG ILIR,31200,PENUKAL ABAB LEMATANG ILIR
1809,PESAWARAN,35300,PESAWARAN
1813,PESISIR BARAT,35900,PESISIR BARAT
1109,PIDIE,24100,PIDIE
1109,PIDIE,24100,PIDIE JAYA
1118,PIDIE JAYA,24100,PIDIE
1118,PIDIE JAYA,24100,PIDIE JAYA
7315,PINRANG,91200,PINRANG
7503,POHUWATO,96400,PAHUWATO
7602,POLEWALI MANDAR,91300,POLEWALI MANDAR
3502,PONOROGO,63400,PONOROGO
6171,PONTIANAK,78100,KOTA PONTIANAK
6171,PONTIANAK,78200,KOTA PONTIANAK
7204,POSO,94600,POSO
1672,PRABUMULIH,31100,KOTA PRABUMULIH
1810,PRINGSEWU,35700,PRINGSEWU
3513,PROBOLINGGO,67200,PROBOLINGGO
3574,PROBOLINGGO,67200,KOTA PROBOLINGGO
6210,PULANG PISAU,74800,PULANG PISAU
8207,PULAU MOROTAI,97700,PULAU MOROTAI
9433,PUNCAK,98900,PUNCAK
9411,PUNCAK JAYA,98900,PUNCAK JAYA
3303,PURBALINGGA,53300,PURBALINGGA
3214,PURWAKARTA,41100,PURWAKARTA
3306,PURWOREJO,54100,PURWOREJO
9108,RAJA AMPAT,98400,RAJA AMPAT
1702,REJANG LEBONG,39100,REJANG LEBONG
3317,REMBANG,59200,REMBANG
1409,ROKAN HILIR,28900,ROKAN HILIR
1407,ROKAN HULU,28500,ROKAN HULU
5314,ROTE NDAO,85900,ROTE NDAO
1405,S I A K,28600,SIAK
1172,SABANG,23500,KOTA SABANG
5320,SABU RAIJUA,85300,SABU RAIJUA
3373,SALATIGA,50700,KOTA SALATIGA
6472,SAMARINDA,75100,KOTA SAMARINDA
6472,SAMARINDA,75200,KOTA SAMARINDA
6101,SAMBAS,79400,SAMBAS
1217,SAMOSIR,22300,SAMOSIR
3527,SAMPANG,69200,SAMPANG
6105,SANGGAU,78500,SANGGAU
9419,SARMI,99300,JAYAPURA
9419,SARMI,99300,MAMBERAMO RAYA
9419,SARMI,99300,SARMI
1503,SAROLANGUN,37400,SAROLANGUN
1373,SAWAH LUNTO,27400,KOTA SAWAHLUNTO
6109,SEKADAU,79500,SEKADAU
1705,SELUMA,38800,SELUMA
3322,SEMARANG,50500,SEMARANG
3374,SEMARANG,50100,KOTA SEMARANG
3374,SEMARANG,50200,KOTA SEMARANG
8106,SERAM BAGIAN BARAT,97500,MALUKU TENGAH
8106,SERAM BAGIAN BARAT,97500,SERAM BAGIAN BARAT
8107,SERAM BAGIAN TIMUR,97500,MALUKU TENGAH
8107,SERAM BAGIAN TIMUR,97500,SERAM BAGIAN TIMUR
3604,SERANG,42100,SERANG
3673,SERANG,42100,KOTA SERANG
1218,SERDANG BEDAGAI,20600,SERDANG BEDAGAI
1218,SERDANG BEDAGAI,20900,SERDANG BEDAGAI
6208,SERUYAN,74200,SERUYAN
7108,SIAU TAGULANDANG BIARO,95800,KEP. SIAU TAGULANDANG BIARO
1271,SIBOLGA,22500,KOTA SIBOLGA
7314,SIDENRENG RAPPANG,91600,SIDENRENG RAPPANG
3515,SIDOARJO,61200,SIDOARJO
7210,SIGI,94300,SIGI
5310,SIKKA,86100,SIKKA
1209,SIMALUNGUN,21100,SIMALUNGUN
1101,SIMEULUE,23800,SIMEULUE
6172,SINGKAWANG,79100,KOTA SINGKAWANG
7307,SINJAI,92600,SINJAI
6107,SINTANG,78600,SINTANG
3512,SITUBONDO,68300,SITUBONDO
3404,SLEMAN,55500,SLEMAN
1372,SOLOK,27300,KOTA SOLOK
7312,SOPPENG,90800,SOPPENG
9107,SORONG,98400,SORONG
9107,SORONG,98400,TAMBRAUW
