BPS code,Area Name,postal code
3271040,BOGOR TENGAH,16127
3271040,BOGOR TENGAH,16128
3271040,BOGOR TENGAH,16129
3271010,BOGOR SELATAN,16131
3271010,BOGOR SELATAN,16132
3271010,BOGOR SELATAN,16133
3271010,BOGOR SELATAN,16134
3271010,BOGOR SELATAN,16135
3271010,BOGOR SELATAN,16136
3271010,BOGOR SELATAN,16137
3271010,BOGOR SELATAN,16138
3271010,BOGOR SELATAN,16139
3271020,BOGOR TIMUR,16141
3271020,BOGOR TIMUR,16142
3271020,BOGOR TIMUR,16143
3271020,BOGOR TIMUR,16144
3271020,BOGOR TIMUR,16145
3271020,BOGOR TIMUR,16146
3271030,BOGOR UTARA,16151
3271030,BOGOR UTARA,16152
3271030,BOGOR UTARA,16153
3271030,BOGOR UTARA,16154
3271030,BOGOR UTARA,16155
3271030,BOGOR UTARA,16156
3271030,BOGOR UTARA,16157
3271030,BOGOR UTARA,16158
3271060,TANAH SEREAL,16161
3271060,TANAH SEREAL,16162
3271060,TANAH SEREAL,16163
3271060,TANAH SEREAL,16164
3271060,TANAH SEREAL,16165
3271060,TANAH SEREAL,16166
3271060,TANAH SEREAL,16167
3271060,TANAH SEREAL,16168
3271060,TANAH SEREAL,16169
3201,BOGOR,16200
3201231,RANCA BUNGUR,16251
3201231,RANCA BUNGUR,16252
3201231,RANCA BUNGUR,16253
3201231,RANCA BUNGUR,16254
3201231,RANCA BUNGUR,16255
3201231,RANCA BUNGUR,16256
3201071,TAMANSARI,16261
3201071,TAMANSARI,16262
3201071,TAMANSARI,16263
3201071,TAMANSARI,16264
3201071,TAMANSARI,16265
3201071,TAMANSARI,16266
3201161,TANJUNGSARI,16266
3201071,TAMANSARI,16267
3201071,TAMANSARI,16268
3201051,TENJOLAYA,16271
3201051,TENJOLAYA,16273
3201051,TENJOLAYA,16274
3201051,TENJOLAYA,16275
3201051,TENJOLAYA,16276
3201021,LEUWISADENG,16281
3201021,LEUWISADENG,16282
3201021,LEUWISADENG,16283
3201021,LEUWISADENG,16284
3201021,LEUWISADENG,16285
3201021,LEUWISADENG,16286
3201021,LEUWISADENG,16287
3201021,LEUWISADENG,16288
3201271,SUKAJAYA,16291
3201271,SUKAJAYA,16292
3201271,SUKAJAYA,16293
3201271,SUKAJAYA,16294
3201271,SUKAJAYA,16295
3201271,SUKAJAYA,16296
3201271,SUKAJAYA,16297
3201271,SUKAJAYA,16298
3201271,SUKAJAYA,16299
3201,BOGOR,16300
3201230,KEMANG,16311
3201230,KEMANG,16312
3201230,KEMANG,16313
3201230,KEMANG,16314
3201230,KEMANG,16315
3201230,KEMANG,16316
3201230,KEMANG,16317
3201230,KEMANG,16318
3201230,KEMANG,16319
3201240,PARUNG,16331
3201240,PARUNG,16333
3201240,PARUNG,16334
3201240,PARUNG,16335
3201240,PARUNG,16336
3201240,PARUNG,16337
3201240,PARUNG,16338
3201240,PARUNG,16339
3201250,GUNUNG SINDUR,16341
3201250,GUNUNG SINDUR,16342
3201250,GUNUNG SINDUR,16343
3201250,GUNUNG SINDUR,16344
3201250,GUNUNG SINDUR,16345
3201250,GUNUNG SINDUR,16346
3201250,GUNUNG SINDUR,16347
3201250,GUNUNG SINDUR,16348
3201250,GUNUNG SINDUR,16349
3201260,RUMPIN,16351
3201260,RUMPIN,16352
3201260,RUMPIN,16353
3201260,RUMPIN,16354
3201260,RUMPIN,16355
3201260,RUMPIN,16356
3201260,RUMPIN,16357
3201260,RUMPIN,16358
3201260,RUMPIN,16359
3201300,PARUNG PANJANG,16361
3201300,PARUNG PANJANG,16362
3201300,PARUNG PANJANG,16363
3201300,PARUNG PANJANG,16364
3201300,PARUNG PANJANG,16365
3201300,PARUNG PANJANG,16366
3201300,PARUNG PANJANG,16367
3201300,PARUNG PANJANG,16368
3201300,PARUNG PANJANG,16369
3201290,TENJO,16371
3201290,TENJO,16372
3201290,TENJO,16373
3201290,TENJO,16374
3201290,TENJO,16375
3201290,TENJO,16376
3201290,TENJO,16377
3201290,TENJO,16378
3201290,TENJO,16379
3201241,CISEENG,16381
3201241,CISEENG,16382
3201241,CISEENG,16383
3201241,CISEENG,16384
3201241,CISEENG,16385
3201241,CISEENG,16386
3201241,CISEENG,16387
3201241,CISEENG,16388
3201241,CISEENG,16389
3276,DEPOK,16400
3276030,SUKMA JAYA,16411
3276030,SUKMA JAYA,16412
3276030,SUKMA JAYA,16416
3276030,SUKMA JAYA,16417
3276030,SUKMA JAYA,16418
3276050,BEJI,16421
3276050,BEJI,16422
3276050,BEJI,16423
